BmV18hpi_uninfected_b	BmV18hpi_uninfected_c	BmV4dpi_uninfected_b	BmV4dpi_uninfected_c	BmV8dpi_uninfected_b	BmV8dpi_uninfected_c	BmV18hpi_a	BmV18hpi_b	BmV4dpi_a	BmV4dpi_b	BmV8dpi_a	BmV8dpi_b
AAEL000363	0	0	0	0	0	2	0	0	21	0	0	0
AAEL000364	5	6	1	0	5	0	35	20	5	2	4	0
AAEL000366	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000367	20	34	29	75	68	23	5	5	9	0	8	27
AAEL000369	0	0	2	8	1	38	0	0	0	0	0	0
AAEL000370	690	776	1578	2952	2974	3083	453	594	1779	1139	1642	1799
AAEL000371	14	19	29	36	77	49	14	9	16	19	10	12
AAEL000372	403	345	287	309	1068	563	560	525	717	673	454	584
AAEL000373	0	0	0	0	1	0	0	0	0	0	0	0
AAEL000374	4	1	12	1	23	170	12	10	196	90	141	83
AAEL000375	0	0	0	3	0	0	0	0	5	0	0	0
AAEL000377	0	0	0	1	0	0	0	0	0	0	0	0
AAEL000378	952	1216	1246	1998	2451	1488	1278	1370	1591	1372	1046	1513
AAEL000379	0	0	0	6	3	18	0	0	0	0	0	0
AAEL000380	246	219	353	599	632	497	987	892	825	601	797	1078
AAEL000381	17	15	47	41	56	52	21	17	11	11	7	19
AAEL000382	0	1	2	0	7	0	2	3	2	5	0	6
AAEL000383	189	229	394	680	691	582	392	378	476	328	470	407
AAEL000384	5	6	6	24	23	0	0	1	11	0	6	3
AAEL000385	324	301	427	567	1014	574	447	608	859	719	697	759
AAEL000386	1624	1680	2540	5050	5147	3560	1426	1440	2083	1932	2246	2223
AAEL000387	0	11	28	11	10	11	108	13	35	1	36	105
AAEL000388	4305	4892	5486	8799	10653	8831	7036	6687	6600	5899	10107	10489
AAEL000389	0	1	4	0	0	0	5	0	0	1	2	0
AAEL000390	33	53	179	424	160	206	81	51	187	57	55	127
AAEL000391	0	0	1	3	0	0	0	0	2	0	0	0
AAEL000392	36815	31564	51103	62621	231001	90494	20296	34508	123809	83933	125597	115268
AAEL000393	271	364	677	786	784	907	258	356	541	362	1578	1265
AAEL000394	254	243	437	533	878	693	539	581	711	524	614	844
AAEL000395	777	884	1903	3318	3111	2582	671	724	1493	844	1167	1497
AAEL000396	63	56	163	417	259	240	70	94	186	92	102	125
AAEL000397	5	3	48	137	16	31	5	4	29	3	12	9
AAEL000398	222	254	414	376	729	384	111	196	258	247	182	272
AAEL000399	247	256	444	981	583	579	308	288	431	254	409	324
AAEL000400	238	276	395	338	511	592	195	220	369	281	1138	958
AAEL000401	26	34	64	192	155	162	75	50	126	82	83	80
AAEL000402	319	190	51	39	103	64	192	119	23	33	34	27
AAEL000403	37	29	213	618	149	218	41	50	167	62	111	110
AAEL000404	208	245	717	1567	1012	788	350	422	711	403	570	730
AAEL000405	715	623	952	640	2432	1070	378	549	735	600	895	1424
AAEL000406	91	90	94	81	333	235	20	10	60	183	41	50
AAEL000407	171	137	105	113	268	182	970	835	423	412	355	418
AAEL000408	71	61	153	203	288	322	292	345	320	253	357	354
AAEL000410	3181	3282	1600	2367	4475	3035	5936	4675	2597	1973	2615	2733
AAEL000411	26	37	233	516	292	322	35	67	203	79	80	116
AAEL000412	310	323	320	416	636	491	594	532	407	413	738	598
AAEL000413	0	0	0	0	0	0	0	0	0	0	0	0
AAEL000414	0	0	9	16	4	0	0	0	0	0	0	0
AAEL000415	1107	1564	3585	6858	5543	5251	580	573	2203	1747	2365	2019
AAEL000416	173	248	3437	9699	759	2329	302	370	1921	150	348	625
AAEL000417	2111	2478	2681	2767	6668	2959	1614	1936	2513	3368	2697	2554
AAEL000418	1518	1791	1436	1695	2996	3630	4320	4342	4835	3557	2374	3047
AAEL000419	25	38	40	101	240	126	58	44	90	114	151	151
AAEL000420	289	265	140	143	627	325	214	224	332	302	321	300
AAEL000421	177	221	780	1712	949	1220	237	288	783	427	376	575
AAEL000422	216	298	725	1335	1199	1065	527	537	797	546	503	725
