BmV18hpi_uninfected_b	BmV18hpi_uninfected_c	BmV4dpi_uninfected_b	BmV4dpi_uninfected_c	BmV8dpi_uninfected_b	BmV8dpi_uninfected_c	BmV18hpi_a	BmV18hpi_b	BmV4dpi_a	BmV4dpi_b	BmV8dpi_a	BmV8dpi_b	mergedColors	inverted
AAEL000244	16.7054111584636	19.4976657354542	12.8309494987855	11.6007407065905	16.8731347632335	13.7388916891782	3.23182486589069	3.16038495501508	3.06178168806042	9.42422039784755	6.48840596449725	3.48795359114976	darkred	FALSE
AAEL000245	56.4895322473041	58.1634599581955	89.1802901846522	60.4593757644197	83.4107483434521	91.6244678612851	116.274222122146	109.022037270776	116.636218189979	127.106561603147	138.971553329484	133.267242821273	magenta	FALSE
AAEL000246	0.23252348933191	0.262574010630484	4.84156068240586	10.3757728261478	0.740338373902883	2.59132506578211	0.194536311804584	0.128109419603575	1.72678171626046	0.0772164538932748	0.253507602151274	0.623805877703119	turquoise	FALSE
AAEL000248	41.8407477716764	38.9859986433752	55.3123077206458	62.5623948678538	34.2769936807579	43.1693113025256	48.1280559475575	50.6796164143904	69.3536503838191	61.830458948568	62.5800066951555	56.38646563634	magenta	FALSE
AAEL000249	40.2181078843476	63.9332512745001	21.1766736194338	19.8474289534994	16.2907961879539	33.0763229827583	61.1613771835671	59.9172376632175	56.7946253693618	34.9617286285331	34.9789031463727	44.0468140170365	turquoise	TRUE
AAEL000252	16.8745886723444	12.4898537590329	31.7847600649811	13.9727264392985	27.3303601915525	46.5944005703913	27.77604000764	37.0633305460073	78.0969962175464	72.7244857521387	55.9214946559302	52.6667713046467	magenta	FALSE
AAEL000256	11.0955954360758	10.5693255367877	21.2772768739925	14.7061401879876	18.6538199758399	14.1680937570369	3.15070715923168	4.37624685298894	4.05606810226519	6.42667654884285	5.06382651744397	9.13114549799435	darkred	FALSE
AAEL000258	104.270463404172	134.504429671365	78.4868626161484	79.4153361722184	71.7707530203409	73.7778974216644	158.510506073602	154.428205329932	109.272144294076	87.5205512902487	88.3488773765802	88.1348640111307	brown	FALSE
AAEL000259	7.18690132933478	9.50449610206286	4.69112895692558	2.30622881866973	2.84700821533836	1.84644932575448	8.83276863081045	7.41293578695456	3.2441715406173	5.68578987500455	2.16427696110608	2.80840308143931	brown	FALSE
AAEL000260	0.74043549023488	0.594872807521648	8.75821504577025	16.6652238114989	2.34938283498321	6.74909063896466	0.628934264352378	1.19375923250915	3.68171970446584	0.601346710119814	1.01631875496385	1.5299092383305	turquoise	FALSE
AAEL000262	13.1907038500762	13.0111402747521	70.4948075346564	119.923636409996	25.0980565738253	55.5543838285703	11.7673387399148	11.3930284921693	37.1191913880366	14.0244220587572	14.3693031931751	14.75276474993	turquoise	FALSE
