agss_BmV18hpi_a	agss_BmV18hpi_b	agss_BmV4dpi_a	agss_BmV4dpi_b	polyAs_BmV4dpi_a	polyAs_BmV4dpi_b	agss_BmV8dpi_a	agss_BmV8dpi_b	polyAs_BmV8dpi_a	polyAs_BmV8dpi_b	polyAs_BmViL3_a	polyAs_BmViL3_b	polyAs_Bm1dpi_a	polyAs_Bm1dpi_b	polyAs_Bm2dpi_a	polyAs_Bm2dpi_b	polyAs_Bm3dpi_a	polyAs_Bm3dpi_b	polyAs_Bm4dpi_a	polyAs_Bm4dpi_b	polyAs_Bm8dpi_a	polyAs_Bm8dpi_b	polyAs_Bm20dpiM_a	polyAs_Bm20dpiM_b	polyAs_Bm24dpiF_a	polyAs_Bm24dpiF_b	polyAs_BmAM_a	polyAs_BmAM_b	polyAs_BmAF_a	polyAs_BmAF_b	polyAs_BmAF_c	polyAs_BmAF_d	polyAs_BmEm_a	polyAs_BmEm_b	polyAs_BmIMF_a	polyAs_BmIMF_b	polyAs_BmMMF_a	polyAs_BmMMF_b
Gene:WBGene00220498	92	41	215	195	12	14	570	705	100	112	583	535	48	56	52	48	129	157	86	90	163	163	80	75	32	70	433	364	105	112	72	109	168	222	189	161	175	101
Gene:WBGene00220499	452	410	773	631	186	148	706	770	595	408	1420	1702	34	32	22	76	602	858	919	661	743	814	861	1026	1082	1137	892	663	1492	1712	1351	1640	2713	2632	100	266	214	108
Gene:WBGene00220500	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1
Gene:WBGene00220502	2	9	738	834	34	42	1240	1703	212	155	157	110	10	6	4	15	23	34	25	36	200	306	6	16	21	33	48	23	360	492	271	458	866	928	137	112	180	151
Gene:WBGene00220503	145	319	1699	1260	105	84	5578	6653	1011	808	8012	7072	1012	1185	917	924	3034	3987	5458	5315	2126	2377	2276	2631	2469	3116	2072	1867	1588	1543	1084	1508	1048	970	634	503	815	395
Gene:WBGene00220504	8	13	32	31	0	0	7703	11077	984	1033	4588	4804	139	235	114	140	252	330	173	118	183	151	81	143	121	136	244	211	952	859	810	1009	65	61	0	0	1	0
Gene:WBGene00220507	0	0	0	0	0	0	0	4	0	0	8	0	0	0	1	0	0	0	0	0	0	0	2	2	4	3	5879	6304	4	1	1	2	1	2	0	3	1	0
Gene:WBGene00220510	0	0	0	0	0	0	2	0	0	6	7	1	3	0	0	0	3	4	0	0	0	0	80	73	0	3	327	295	0	2	2	2	1	2	0	0	0	0
Gene:WBGene00220511	1	10	104	92	1	13	3418	4118	800	764	2135	2010	4751	3091	2114	2471	6874	8107	7660	6323	4900	6290	188	156	70	71	15	12	61	70	55	78	129	147	219	160	133	57
Gene:WBGene00220514	0	0	8	5	0	3	45	59	1	15	8	24	0	0	1	1	10	1	985	949	3	11	5	1	87	47	6	3	167	215	136	210	399	460	1	2	2	1
